YearAndMonth,Year,RegionName,Metro,State,SizeRank,Price Reduction
2010-11,2010,Irving,Dallas-Fort Worth-Arlington,TX,119,3.86
2010-11,2010,Amarillo,Amarillo,TX,149,3.706
2010-11,2010,Brownsville,Brownsville-Harlingen,TX,157,4.11
2010-11,2010,Grand Prairie,Dallas-Fort Worth-Arlington,TX,165,4.038
2010-11,2010,Killeen,Killeen-Temple,TX,182,4.068
2010-11,2010,Sugar Land,Houston-The Woodlands-Sugar Land,TX,191,3.218
2010-11,2010,McKinney,Dallas-Fort Worth-Arlington,TX,196,3.031
2010-11,2010,Odessa,Odessa,TX,203,3.185
2010-11,2010,Midland,Midland,TX,206,3.289
2010-11,2010,Tyler,Tyler,TX,210,4.143
2010-11,2010,Cypress,Houston-The Woodlands-Sugar Land,TX,213,3.637
2010-11,2010,Round Rock,Austin-Round Rock,TX,214,2.91
2010-11,2010,Edinburg,McAllen-Edinburg-Mission,TX,221,4.304
2010-11,2010,Conroe,Houston-The Woodlands-Sugar Land,TX,222,3.976
2010-11,2010,Pasadena,Houston-The Woodlands-Sugar Land,TX,227,5.407
