YearAndMonth,Year,RegionName,Metro,State,SizeRank,Price Reduction
2011-02,2011,New Braunfels,San Antonio-New Braunfels,TX,430,3.663
2011-02,2011,Missouri City,Houston-The Woodlands-Sugar Land,TX,595,4.26
2011-02,2011,Richmond,Houston-The Woodlands-Sugar Land,TX,600,3.689
2011-02,2011,Tomball,Houston-The Woodlands-Sugar Land,TX,606,4.043
2011-02,2011,Atascocita,Houston-The Woodlands-Sugar Land,TX,639,4.352
2011-02,2011,Baytown,Houston-The Woodlands-Sugar Land,TX,653,5.559
2011-02,2011,Galveston,Houston-The Woodlands-Sugar Land,TX,1090,5.428
2011-02,2011,Katy,Houston-The Woodlands-Sugar Land,TX,1167,3.573
2011-02,2011,Seguin,San Antonio-New Braunfels,TX,1172,4.436
2011-02,2011,Texas City,Houston-The Woodlands-Sugar Land,TX,1254,5.13
2011-02,2011,Montgomery,Houston-The Woodlands-Sugar Land,TX,1373,4.077
2011-02,2011,Boerne,San Antonio-New Braunfels,TX,1416,3.398
2011-02,2011,Friendswood,Houston-The Woodlands-Sugar Land,TX,1427,3.409
2011-02,2011,Converse,San Antonio-New Braunfels,TX,1448,4.291
2011-02,2011,La Porte,Houston-The Woodlands-Sugar Land,TX,1668,3.231
2011-02,2011,Deer Park,Houston-The Woodlands-Sugar Land,TX,1679,5.703
2011-02,2011,Cibolo,San Antonio-New Braunfels,TX,1728,2.338
2011-02,2011,Porter,Houston-The Woodlands-Sugar Land,TX,1733,2.621
2011-02,2011,Willis,Houston-The Woodlands-Sugar Land,TX,1799,4.087
2011-02,2011,Rosenberg,Houston-The Woodlands-Sugar Land,TX,1828,4.497
2011-02,2011,Schertz,San Antonio-New Braunfels,TX,1831,2.857
2011-02,2011,Lake Jackson,Houston-The Woodlands-Sugar Land,TX,1935,4.418
2011-02,2011,Crosby,Houston-The Woodlands-Sugar Land,TX,2007,4.667
2011-02,2011,Alvin,Houston-The Woodlands-Sugar Land,TX,2307,5.303
2011-02,2011,Helotes,San Antonio-New Braunfels,TX,2392,3.719
2011-02,2011,Floresville,San Antonio-New Braunfels,TX,2409,6.127
