Pivot1 Names,RegionName,SizeRank,Pivot1 Values
2010-11,"Urban Honolulu, HI",38,
2010-11,"Worcester, MA",39,
2010-11,"Albany, NY",40,
2010-11,"New Haven, CT",41,975
2010-11,"Ventura, CA",42,
2010-11,"Allentown, PA",43,
2010-11,"Columbia, SC",44,
2010-11,"Stockton, CA",45,
2010-11,"Colorado Springs, CO",46,
2010-11,"Wichita, KS",47,
2010-11,"Ogden, UT",48,
2010-11,"Augusta, GA",49,
2010-11,"Spokane, WA",50,
2010-11,"Anchorage, AK",51,
2010-11,"Glenwood Springs, CO",52,
2010-12,United States,0,
2010-12,"Los Angeles-Long Beach-Anaheim, CA",1,
2010-12,"Dallas-Fort Worth, TX",2,
2010-12,"Houston, TX",3,
2010-12,"Washington, DC",4,3100
2010-12,"Miami-Fort Lauderdale, FL",5,
2010-12,"Atlanta, GA",6,
2010-12,"Boston, MA",7,
2010-12,"San Francisco, CA",8,
2010-12,"Riverside, CA",9,2495
2010-12,"Seattle, WA",10,
2010-12,"Minneapolis-St Paul, MN",11,
2010-12,"San Diego, CA",12,
2010-12,"Tampa, FL",13,
2010-12,"Denver, CO",14,
2010-12,"Pittsburgh, PA",15,
2010-12,"Portland, OR",16,
2010-12,"Charlotte, NC",17,2325
2010-12,"Sacramento, CA",18,
2010-12,"San Antonio, TX",19,
2010-12,"Orlando, FL",20,
2010-12,"Cleveland, OH",21,
2010-12,"Kansas City, MO",22,
2010-12,"Las Vegas, NV",23,2147.5
2010-12,"San Jose, CA",24,
2010-12,"Austin, TX",25,
2010-12,"Virginia Beach, VA",26,2195
2010-12,"Nashville, TN",27,
2010-12,"Providence, RI",28,
2010-12,"Milwaukee, WI",29,
2010-12,"Jacksonville, FL",30,
2010-12,"Memphis, TN",31,
2010-12,"Oklahoma City, OK",32,
2010-12,"Hartford, CT",33,
2010-12,"Richmond, VA",34,
2010-12,"Buffalo, NY",35,
2010-12,"Salt Lake City, UT",36,
2010-12,"Rochester, NY",37,
2010-12,"Urban Honolulu, HI",38,
2010-12,"Worcester, MA",39,
2010-12,"Albany, NY",40,
2010-12,"New Haven, CT",41,975
2010-12,"Ventura, CA",42,
2010-12,"Allentown, PA",43,
2010-12,"Columbia, SC",44,
2010-12,"Stockton, CA",45,
2010-12,"Colorado Springs, CO",46,
2010-12,"Wichita, KS",47,
2010-12,"Ogden, UT",48,
2010-12,"Augusta, GA",49,
2010-12,"Spokane, WA",50,
2010-12,"Anchorage, AK",51,
2010-12,"Glenwood Springs, CO",52,
2011-01,United States,0,
2011-01,"Los Angeles-Long Beach-Anaheim, CA",1,
2011-01,"Dallas-Fort Worth, TX",2,
2011-01,"Houston, TX",3,
2011-01,"Washington, DC",4,2995
2011-01,"Miami-Fort Lauderdale, FL",5,
2011-01,"Atlanta, GA",6,
2011-01,"Boston, MA",7,
2011-01,"San Francisco, CA",8,
2011-01,"Riverside, CA",9,2312.5
2011-01,"Seattle, WA",10,1750
2011-01,"Minneapolis-St Paul, MN",11,
2011-01,"San Diego, CA",12,
2011-01,"Tampa, FL",13,
2011-01,"Denver, CO",14,
2011-01,"Pittsburgh, PA",15,
2011-01,"Portland, OR",16,
2011-01,"Charlotte, NC",17,2250
2011-01,"Sacramento, CA",18,
2011-01,"San Antonio, TX",19,
2011-01,"Orlando, FL",20,
2011-01,"Cleveland, OH",21,
2011-01,"Kansas City, MO",22,
2011-01,"Las Vegas, NV",23,1900
2011-01,"San Jose, CA",24,
2011-01,"Austin, TX",25,
2011-01,"Virginia Beach, VA",26,2100
2011-01,"Nashville, TN",27,
2011-01,"Providence, RI",28,
2011-01,"Milwaukee, WI",29,
2011-01,"Jacksonville, FL",30,1924.5
2011-01,"Memphis, TN",31,
2011-01,"Oklahoma City, OK",32,
2011-01,"Hartford, CT",33,
2011-01,"Richmond, VA",34,
2011-01,"Buffalo, NY",35,
2011-01,"Salt Lake City, UT",36,
2011-01,"Rochester, NY",37,
2011-01,"Urban Honolulu, HI",38,
2011-01,"Worcester, MA",39,
2011-01,"Albany, NY",40,
2011-01,"New Haven, CT",41,975
2011-01,"Ventura, CA",42,
2011-01,"Allentown, PA",43,
2011-01,"Columbia, SC",44,
2011-01,"Stockton, CA",45,
2011-01,"Colorado Springs, CO",46,
2011-01,"Wichita, KS",47,
2011-01,"Ogden, UT",48,
2011-01,"Augusta, GA",49,
2011-01,"Spokane, WA",50,
2011-01,"Anchorage, AK",51,
2011-01,"Glenwood Springs, CO",52,
2011-02,United States,0,2495
2011-02,"Los Angeles-Long Beach-Anaheim, CA",1,4500
2011-02,"Dallas-Fort Worth, TX",2,
2011-02,"Houston, TX",3,
2011-02,"Washington, DC",4,3000
2011-02,"Miami-Fort Lauderdale, FL",5,
2011-02,"Atlanta, GA",6,2100
2011-02,"Boston, MA",7,
2011-02,"San Francisco, CA",8,
2011-02,"Riverside, CA",9,2250
2011-02,"Seattle, WA",10,1800
2011-02,"Minneapolis-St Paul, MN",11,1700
2011-02,"San Diego, CA",12,
2011-02,"Tampa, FL",13,2100
2011-02,"Denver, CO",14,
2011-02,"Pittsburgh, PA",15,
2011-02,"Portland, OR",16,
2011-02,"Charlotte, NC",17,2200
2011-02,"Sacramento, CA",18,
2011-02,"San Antonio, TX",19,
2011-02,"Orlando, FL",20,
2011-02,"Cleveland, OH",21,
2011-02,"Kansas City, MO",22,
2011-02,"Las Vegas, NV",23,1897.5
2011-02,"San Jose, CA",24,
2011-02,"Austin, TX",25,
2011-02,"Virginia Beach, VA",26,2050
2011-02,"Nashville, TN",27,
2011-02,"Providence, RI",28,
2011-02,"Milwaukee, WI",29,
2011-02,"Jacksonville, FL",30,1972
2011-02,"Memphis, TN",31,
2011-02,"Oklahoma City, OK",32,
2011-02,"Hartford, CT",33,
2011-02,"Richmond, VA",34,
2011-02,"Buffalo, NY",35,
2011-02,"Salt Lake City, UT",36,
2011-02,"Rochester, NY",37,
2011-02,"Urban Honolulu, HI",38,
2011-02,"Worcester, MA",39,
2011-02,"Albany, NY",40,
2011-02,"New Haven, CT",41,950
2011-02,"Ventura, CA",42,
2011-02,"Allentown, PA",43,
2011-02,"Columbia, SC",44,
2011-02,"Stockton, CA",45,
2011-02,"Colorado Springs, CO",46,
2011-02,"Wichita, KS",47,
2011-02,"Ogden, UT",48,
2011-02,"Augusta, GA",49,
2011-02,"Spokane, WA",50,
2011-02,"Anchorage, AK",51,
2011-02,"Glenwood Springs, CO",52,
2011-03,United States,0,2495
2011-03,"Los Angeles-Long Beach-Anaheim, CA",1,4350
2011-03,"Dallas-Fort Worth, TX",2,2047.5
2011-03,"Houston, TX",3,
2011-03,"Washington, DC",4,2900
2011-03,"Miami-Fort Lauderdale, FL",5,
2011-03,"Atlanta, GA",6,2000
2011-03,"Boston, MA",7,
2011-03,"San Francisco, CA",8,2200
2011-03,"Riverside, CA",9,2200
2011-03,"Seattle, WA",10,1995
2011-03,"Minneapolis-St Paul, MN",11,1750
2011-03,"San Diego, CA",12,
2011-03,"Tampa, FL",13,2000
2011-03,"Denver, CO",14,
2011-03,"Pittsburgh, PA",15,
2011-03,"Portland, OR",16,
2011-03,"Charlotte, NC",17,2200
2011-03,"Sacramento, CA",18,
2011-03,"San Antonio, TX",19,1750
2011-03,"Orlando, FL",20,
2011-03,"Cleveland, OH",21,
2011-03,"Kansas City, MO",22,
2011-03,"Las Vegas, NV",23,1900
2011-03,"San Jose, CA",24,
2011-03,"Austin, TX",25,
2011-03,"Virginia Beach, VA",26,2195
2011-03,"Nashville, TN",27,
2011-03,"Providence, RI",28,
2011-03,"Milwaukee, WI",29,
2011-03,"Jacksonville, FL",30,1895
2011-03,"Memphis, TN",31,
2011-03,"Oklahoma City, OK",32,
2011-03,"Hartford, CT",33,
2011-03,"Richmond, VA",34,
2011-03,"Buffalo, NY",35,
2011-03,"Salt Lake City, UT",36,
2011-03,"Rochester, NY",37,
2011-03,"Urban Honolulu, HI",38,
2011-03,"Worcester, MA",39,
2011-03,"Albany, NY",40,
2011-03,"New Haven, CT",41,950
2011-03,"Ventura, CA",42,
2011-03,"Allentown, PA",43,
2011-03,"Columbia, SC",44,
2011-03,"Stockton, CA",45,
2011-03,"Colorado Springs, CO",46,
2011-03,"Wichita, KS",47,
2011-03,"Ogden, UT",48,
2011-03,"Augusta, GA",49,
2011-03,"Spokane, WA",50,
2011-03,"Anchorage, AK",51,
2011-03,"Glenwood Springs, CO",52,
2011-04,United States,0,2500
2011-04,"Los Angeles-Long Beach-Anaheim, CA",1,4500
2011-04,"Dallas-Fort Worth, TX",2,2150
2011-04,"Houston, TX",3,
2011-04,"Washington, DC",4,3050
2011-04,"Miami-Fort Lauderdale, FL",5,
2011-04,"Atlanta, GA",6,2000
2011-04,"Boston, MA",7,
2011-04,"San Francisco, CA",8,2150
2011-04,"Riverside, CA",9,2295
