Date,PriceCut,RegionID,RegionName,SizeRank
2010-10,12.927588162,394596,"Flint, MI",116
2010-10,18.439500484,395019,"Reno, NV",117
2010-10,11.328460265,394338,"Asheville, NC",118
2010-10,10.027578915,394995,"Port St. Lucie, FL",119
2010-10,13.036192638,394612,"Fort Wayne, IN",122
2010-10,14.755199023,395015,"Reading, PA",126
2010-10,16.890731575,394820,"Manchester, NH",131
2010-10,20.691068650,395048,"Salem, OR",132
2010-10,16.044101518,394327,"Anchorage, AK",133
2010-10,12.541500856,394972,"Peoria, IL",135
2010-10,9.596348021,394898,"Myrtle Beach, SC",136
2010-10,13.626322352,395164,"Trenton, NJ",141
2010-10,9.465823831,394589,"Fayetteville, NC",142
2010-10,12.283983785,395033,"Rockford, IL",146
2010-10,12.417192866,394332,"Ann Arbor, MI",148
2010-10,15.304738737,394927,"Ocala, FL",149
2010-10,14.165490162,394901,"Naples, FL",151
2010-10,9.194681727,395107,"South Bend, IN",152
2010-10,9.270846016,394579,"Evansville, IN",154
2010-10,11.663705655,394602,"Fort Collins, CO",159
2010-10,17.162799871,394405,"Boulder, CO",162
2010-10,12.520628403,394471,"Clarksville, TN",172
2010-10,14.889816219,395229,"Wilmington, NC",175
2010-10,14.510597064,394645,"Greeley, CO",177
2010-10,13.522348326,394937,"Olympia, WA",179
2010-10,15.599574010,394660,"Hagerstown, WV",182
2010-10,18.186507928,753875,"Crestview-Fort Walton Beach-Destin, FL",187
2010-10,14.541496895,394361,"Barnstable Town, MA",199
2010-10,10.935301920,394378,"Bellingham, WA",212
2010-10,14.035070658,394765,"Lake Havasu City, AZ",213
2010-10,14.610013078,394565,"Elkhart, IN",217
2010-10,11.618552374,394681,"Hilton Head Island, SC",223
2010-10,15.961982720,395009,"Punta Gorda, FL",251
2010-10,12.508241079,394380,"Bend, OR",256
2010-10,14.319344958,394480,"Coeur d'Alene, ID",292
2010-10,9.192677776,395119,"St. George, UT",294
2010-11,13.555563983,102001,United States,0
2010-11,12.706821608,394913,"New York, NY",1
2010-11,12.734461369,753899,"Los Angeles-Long Beach-Anaheim, CA",2
2010-11,14.659548061,394463,"Chicago, IL",3
2010-11,13.124384109,394514,"Dallas-Fort Worth, TX",4
2010-11,13.608460095,394974,"Philadelphia, PA",5
2010-11,13.022795330,394692,"Houston, TX",6
2010-11,15.066146713,395209,"Washington, DC",7
2010-11,10.266957048,394856,"Miami-Fort Lauderdale, FL",8
2010-11,13.501972310,394347,"Atlanta, GA",9
2010-11,15.061940267,394404,"Boston, MA",10
2010-11,14.004569310,395057,"San Francisco, CA",11
2010-11,10.758632907,394532,"Detroit, MI",12
2010-11,12.938618884,395025,"Riverside, CA",13
2010-11,18.862796371,394976,"Phoenix, AZ",14
2010-11,18.354252905,395078,"Seattle, WA",15
2010-11,18.204253779,394865,"Minneapolis-St Paul, MN",16
2010-11,14.875049505,395056,"San Diego, CA",17
2010-11,14.739282117,395121,"St. Louis, MO",18
2010-11,13.737295613,395148,"Tampa, FL",19
2010-11,16.980168702,394358,"Baltimore, MD",20
2010-11,17.352640373,394530,"Denver, CO",21
2010-11,11.329238160,394982,"Pittsburgh, PA",22
2010-11,19.100066446,394998,"Portland, OR",23
2010-11,12.020444289,394458,"Charlotte, NC",24
2010-11,13.704949897,395045,"Sacramento, CA",25
2010-11,11.502858988,395055,"San Antonio, TX",26
2010-11,10.843459776,394943,"Orlando, FL",27
2010-11,14.853264175,394466,"Cincinnati, OH",28
2010-11,13.074481928,394475,"Cleveland, OH",29
2010-11,13.926977559,394735,"Kansas City, MO",30
2010-11,13.494423085,394775,"Las Vegas, NV",31
2010-11,12.707624917,394492,"Columbus, OH",32
2010-11,11.208854828,394705,"Indianapolis, IN",33
2010-11,13.267521234,395059,"San Jose, CA",34
2010-11,13.636808914,394355,"Austin, TX",35
2010-11,18.928313361,395194,"Virginia Beach, VA",36
2010-11,13.474908799,394902,"Nashville, TN",37
2010-11,16.333422483,395005,"Providence, RI",38
2010-11,15.021011939,394862,"Milwaukee, WI",39
2010-11,17.201358459,394714,"Jacksonville, FL",40
2010-11,8.791255458,394849,"Memphis, TN",41
2010-11,11.867253867,394935,"Oklahoma City, OK",42
2010-11,12.452977004,394807,"Louisville-Jefferson County, KY",43
2010-11,15.998552759,394669,"Hartford, CT",44
2010-11,15.431288313,395022,"Richmond, VA",45
2010-11,11.475143267,394910,"New Orleans, LA",46
2010-11,13.957586770,394425,"Buffalo, NY",47
2010-11,11.903082197,395012,"Raleigh, NC",48
2010-11,15.413365713,394388,"Birmingham, AL",49
2010-11,15.875353707,395053,"Salt Lake City, UT",50
2010-11,10.980876258,395031,"Rochester, NY",51
2010-11,13.655255640,394640,"Grand Rapids, MI",52
2010-11,19.505854923,395167,"Tucson, AZ",53
