Date,ZHVI,RegionID,RegionName,SizeRank
1997-08,73800,56,Virginia,12
1997-08,91600,59,Washington,13
1997-08,85700,26,Massachusetts,14
1997-08,51600,22,Indiana,15
1997-08,50300,8,Arizona,16
1997-08,52500,53,Tennessee,17
1997-08,48700,32,Missouri,18
1997-08,75300,60,Wisconsin,19
1997-08,54800,31,Minnesota,20
1997-08,75900,10,Colorado,21
1997-08,48700,4,Alabama,22
1997-08,84400,51,South Carolina,23
1997-08,,25,Louisiana,24
1997-08,47300,24,Kentucky,25
1997-08,88400,46,Oregon,26
1997-08,17300,45,Oklahoma,27
1997-08,56300,11,Connecticut,28
1997-08,37100,19,Iowa,29
1997-08,43400,34,Mississippi,30
1997-08,49200,6,Arkansas,31
