Date,ValuePerSqft,RegionID,RegionName,SizeRank
2002-01,99,46,Oregon,27
2002-01,48,45,Oklahoma,28
2002-01,120,11,Connecticut,29
2002-01,70,19,Iowa,30
2002-01,43,34,Mississippi,31
2002-01,46,6,Arkansas,32
2002-01,72,23,Kansas,33
2002-01,118,55,Utah,34
2002-01,95,42,Nevada,35
2002-01,87,41,New Mexico,36
2002-01,43,61,West Virginia,37
2002-01,72,38,Nebraska,38
2002-01,77,20,Idaho,39
2002-01,188,18,Hawaii,40
2002-01,100,28,Maine,41
2002-01,106,39,New Hampshire,42
2002-01,124,50,Rhode Island,43
2002-01,116,35,Montana,44
2002-01,82,13,Delaware,45
2002-01,82,52,South Dakota,46
2002-01,111,3,Alaska,47
2002-01,,37,North Dakota,48
2002-01,169,12,District of Columbia,49
2002-01,116,62,Wyoming,50
2002-02,170,9,California,1
2002-02,61,54,Texas,2
2002-02,89,43,New York,3
2002-02,79,14,Florida,4
2002-02,111,21,Illinois,5
2002-02,73,47,Pennsylvania,6
2002-02,77,44,Ohio,7
2002-02,101,30,Michigan,8
2002-02,74,16,Georgia,9
2002-02,75,36,North Carolina,10
2002-02,125,40,New Jersey,11
2002-02,89,56,Virginia,12
2002-02,114,59,Washington,13
2002-02,165,26,Massachusetts,14
2002-02,69,22,Indiana,15
2002-02,83,8,Arizona,16
2002-02,61,53,Tennessee,17
2002-02,80,32,Missouri,18
2002-02,107,27,Maryland,19
2002-02,94,60,Wisconsin,20
2002-02,124,31,Minnesota,21
2002-02,137,10,Colorado,22
2002-02,55,4,Alabama,23
2002-02,70,51,South Carolina,24
2002-02,55,25,Louisiana,25
2002-02,70,24,Kentucky,26
2002-02,100,46,Oregon,27
2002-02,48,45,Oklahoma,28
2002-02,122,11,Connecticut,29
2002-02,70,19,Iowa,30
2002-02,42,34,Mississippi,31
2002-02,47,6,Arkansas,32
2002-02,73,23,Kansas,33
2002-02,118,55,Utah,34
2002-02,96,42,Nevada,35
2002-02,87,41,New Mexico,36
2002-02,43,61,West Virginia,37
2002-02,72,38,Nebraska,38
2002-02,77,20,Idaho,39
2002-02,190,18,Hawaii,40
2002-02,101,28,Maine,41
2002-02,107,39,New Hampshire,42
2002-02,126,50,Rhode Island,43
2002-02,116,35,Montana,44
2002-02,83,13,Delaware,45
2002-02,82,52,South Dakota,46
2002-02,112,3,Alaska,47
2002-02,,37,North Dakota,48
2002-02,173,12,District of Columbia,49
2002-02,116,62,Wyoming,50
2002-03,172,9,California,1
2002-03,61,54,Texas,2
2002-03,90,43,New York,3
2002-03,80,14,Florida,4
2002-03,112,21,Illinois,5
2002-03,73,47,Pennsylvania,6
2002-03,77,44,Ohio,7
2002-03,102,30,Michigan,8
2002-03,75,16,Georgia,9
2002-03,75,36,North Carolina,10
2002-03,126,40,New Jersey,11
2002-03,90,56,Virginia,12
2002-03,115,59,Washington,13
2002-03,166,26,Massachusetts,14
2002-03,69,22,Indiana,15
2002-03,84,8,Arizona,16
2002-03,61,53,Tennessee,17
2002-03,81,32,Missouri,18
2002-03,107,27,Maryland,19
2002-03,95,60,Wisconsin,20
2002-03,125,31,Minnesota,21
2002-03,137,10,Colorado,22
2002-03,56,4,Alabama,23
2002-03,70,51,South Carolina,24
2002-03,54,25,Louisiana,25
2002-03,70,24,Kentucky,26
2002-03,100,46,Oregon,27
2002-03,49,45,Oklahoma,28
2002-03,123,11,Connecticut,29
2002-03,70,19,Iowa,30
2002-03,42,34,Mississippi,31
2002-03,47,6,Arkansas,32
2002-03,73,23,Kansas,33
2002-03,117,55,Utah,34
2002-03,96,42,Nevada,35
2002-03,88,41,New Mexico,36
2002-03,43,61,West Virginia,37
2002-03,72,38,Nebraska,38
2002-03,76,20,Idaho,39
2002-03,192,18,Hawaii,40
2002-03,102,28,Maine,41
2002-03,109,39,New Hampshire,42
2002-03,127,50,Rhode Island,43
2002-03,116,35,Montana,44
2002-03,83,13,Delaware,45
2002-03,82,52,South Dakota,46
2002-03,112,3,Alaska,47
2002-03,,37,North Dakota,48
2002-03,176,12,District of Columbia,49
2002-03,117,62,Wyoming,50
2002-04,174,9,California,1
2002-04,61,54,Texas,2
2002-04,90,43,New York,3
2002-04,80,14,Florida,4
2002-04,113,21,Illinois,5
2002-04,74,47,Pennsylvania,6
2002-04,77,44,Ohio,7
2002-04,102,30,Michigan,8
2002-04,75,16,Georgia,9
2002-04,75,36,North Carolina,10
2002-04,128,40,New Jersey,11
2002-04,90,56,Virginia,12
