year,month,date,days,SizeRank,RegionName
2010,12,12/1/2010,141,43,rhode island
2010,12,12/1/2010,124,44,montana
2010,12,12/1/2010,121.5,45,delaware
2010,12,12/1/2010,,46,south dakota
2010,12,12/1/2010,117,47,alaska
2010,12,12/1/2010,94,48,north dakota
2010,12,12/1/2010,173,49,vermont
2010,12,12/1/2010,88,50,district of columbia
2010,12,12/1/2010,122.5,51,wyoming
2011,1,1/1/2011,108,1,california
2011,1,1/1/2011,136,2,texas
2011,1,1/1/2011,171,3,new york
2011,1,1/1/2011,120,4,florida
2011,1,1/1/2011,148,5,illinois
2011,1,1/1/2011,145,6,pennsylvania
2011,1,1/1/2011,134.5,7,ohio
2011,1,1/1/2011,121,8,michigan
2011,1,1/1/2011,139,9,georgia
2011,1,1/1/2011,155,10,north carolina
2011,1,1/1/2011,180,11,new jersey
2011,1,1/1/2011,124,12,virginia
2011,1,1/1/2011,139,13,washington
2011,1,1/1/2011,131,14,massachusetts
2011,1,1/1/2011,131,15,indiana
2011,1,1/1/2011,113,16,arizona
2011,1,1/1/2011,144,17,tennessee
2011,1,1/1/2011,129,18,missouri
2011,1,1/1/2011,134,19,maryland
2011,1,1/1/2011,146,20,wisconsin
2011,1,1/1/2011,137,21,minnesota
2011,1,1/1/2011,125,22,colorado
2011,1,1/1/2011,147,23,alabama
2011,1,1/1/2011,164,24,south carolina
2011,1,1/1/2011,113,25,louisiana
2011,1,1/1/2011,126,26,kentucky
2011,1,1/1/2011,134,27,oregon
2011,1,1/1/2011,127,28,oklahoma
2011,1,1/1/2011,143,29,connecticut
2011,1,1/1/2011,125,30,iowa
2011,1,1/1/2011,131,31,mississippi
2011,1,1/1/2011,146,32,arkansas
2011,1,1/1/2011,121,33,kansas
2011,1,1/1/2011,113,34,utah
2011,1,1/1/2011,108,35,nevada
2011,1,1/1/2011,132,36,new mexico
2011,1,1/1/2011,149,37,west virginia
2011,1,1/1/2011,109,38,nebraska
2011,1,1/1/2011,102,39,idaho
2011,1,1/1/2011,99,40,hawaii
2011,1,1/1/2011,157,41,maine
2011,1,1/1/2011,124,42,new hampshire
2011,1,1/1/2011,146,43,rhode island
2011,1,1/1/2011,138,44,montana
2011,1,1/1/2011,136,45,delaware
2011,1,1/1/2011,,46,south dakota
2011,1,1/1/2011,139,47,alaska
2011,1,1/1/2011,131,48,north dakota
2011,1,1/1/2011,162,49,vermont
2011,1,1/1/2011,111,50,district of columbia
2011,1,1/1/2011,114,51,wyoming
2011,2,2/1/2011,112,1,california
2011,2,2/1/2011,137,2,texas
2011,2,2/1/2011,176,3,new york
2011,2,2/1/2011,126,4,florida
2011,2,2/1/2011,153,5,illinois
2011,2,2/1/2011,150,6,pennsylvania
2011,2,2/1/2011,128,7,ohio
2011,2,2/1/2011,118,8,michigan
2011,2,2/1/2011,146,9,georgia
2011,2,2/1/2011,158,10,north carolina
2011,2,2/1/2011,183,11,new jersey
2011,2,2/1/2011,130,12,virginia
2011,2,2/1/2011,139,13,washington
2011,2,2/1/2011,145,14,massachusetts
